Date,Year,Month,Quarter,Branch,ProductCategory,ProductName,UnitsSold,UnitPrice,TotalSales,COGS,Profit Margin,GrossProfit,OperatingExpenses,Expense Ratio,NetProfit,PaymentMethod,Region
13-02-2024,2024,2,Q1,Store_8,Electronics,Camera,8,103.33,826.64,571.65,30.85%,254.99,114.16,13.81%,140.83,Digital Wallet,North
10-04-2022,2022,4,Q2,Store_5,Sports,Tennis Racket,9,402.87,3625.83,2847.06,21.48%,778.77,649.41,17.91%,129.36,Cash,South
11-02-2023,2023,2,Q1,Store_2,Toys,Doll,3,177.55,532.65,230.33,56.76%,302.32,148.67,27.91%,153.65,Digital Wallet,East
08-06-2024,2024,6,Q2,Store_1,Toys,Lego Set,6,93.62,561.72,315.93,43.76%,245.79,72.38,12.89%,173.41,Card,East
27-09-2023,2023,9,Q3,Store_10,Toys,Lego Set,6,5.6,33.60,24.18,28.04%,9.42,5.34,15.89%,4.08,Card,North
21-11-2024,2024,11,Q4,Store_5,Toys,Action Figure,16,375.86,6013.76,4663.28,22.46%,1350.48,666.20,11.08%,684.28,Digital Wallet,West
13-02-2023,2023,2,Q1,Store_1,Electronics,Tablet,8,366.35,2930.80,1648.83,43.74%,1281.97,599.38,20.45%,682.59,Digital Wallet,West
29-08-2023,2023,8,Q3,Store_5,Home Decor,Sofa,19,317.52,6032.88,3572.09,40.79%,2460.79,1265.19,20.97%,1195.60,Digital Wallet,West
31-10-2022,2022,10,Q4,Store_8,Clothing,Jeans,19,314.41,5973.79,4545.57,23.91%,1428.22,1734.81,29.04%,-306.59,Digital Wallet,South
04-03-2022,2022,3,Q1,Store_4,Sports,Tennis Racket,3,287.43,862.29,459.48,46.71%,402.81,138.69,16.08%,264.12,Digital Wallet,West
10-01-2024,2024,1,Q1,Store_8,Groceries,Eggs,6,28.3,169.80,70.58,58.43%,99.22,49.85,29.36%,49.37,Cash,North
09-07-2023,2023,7,Q3,Store_6,Electronics,Camera,14,343.25,4805.50,2275.05,52.66%,2530.45,1269.54,26.42%,1260.91,Card,East
10-12-2023,2023,12,Q4,Store_7,Electronics,Tablet,5,24.44,122.20,59.43,51.37%,62.77,26.67,21.82%,36.10,Digital Wallet,South
17-01-2023,2023,1,Q1,Store_6,Electronics,Tablet,19,301.42,5726.98,3576.97,37.54%,2150.01,1353.46,23.63%,796.55,Digital Wallet,North
18-01-2023,2023,1,Q1,Store_1,Toys,Lego Set,10,462.45,4624.50,3263.62,29.43%,1360.88,1148.80,24.84%,212.08,Card,West
29-12-2024,2024,12,Q4,Store_6,Groceries,Bread,11,378.73,4166.03,2642.04,36.58%,1523.99,1118.27,26.84%,405.72,Digital Wallet,North
05-02-2024,2024,2,Q1,Store_5,Clothing,Shoes,19,317.15,6025.85,3867.79,35.81%,2158.06,737.77,12.24%,1420.29,Card,South
15-06-2023,2023,6,Q2,Store_7,Home Decor,Sofa,1,108.19,108.19,53.21,50.82%,54.98,16.17,14.95%,38.81,Digital Wallet,East
12-09-2024,2024,9,Q3,Store_8,Clothing,Jeans,8,273.62,2188.96,1742.1,20.41%,446.86,338.18,15.45%,108.68,Digital Wallet,North
12-10-2024,2024,10,Q4,Store_3,Sports,Basketball,4,217.49,869.96,645.18,25.84%,224.78,255.67,29.39%,-30.89,Card,West
18-11-2024,2024,11,Q4,Store_7,Home Decor,Table,14,384.74,5386.36,2887.69,46.39%,2498.67,540.80,10.04%,1957.87,Cash,South
15-10-2023,2023,10,Q4,Store_7,Toys,Action Figure,1,342.75,342.75,154.27,54.99%,188.48,58.56,17.09%,129.92,Card,East
27-09-2024,2024,9,Q3,Store_5,Electronics,Tablet,5,297.44,1487.20,782.1,47.41%,705.10,208.86,14.04%,496.24,Digital Wallet,West
23-10-2023,2023,10,Q4,Store_4,Clothing,Jacket,12,321.81,3861.72,2240.71,41.98%,1621.01,1109.22,28.72%,511.79,Digital Wallet,West
08-09-2023,2023,9,Q3,Store_8,Groceries,Milk,11,420.08,4620.88,3279.96,29.02%,1340.92,520.39,11.26%,820.53,Card,East
12-02-2022,2022,2,Q1,Store_5,Sports,Football,14,113.37,1587.18,691.18,56.45%,896.00,345.63,21.78%,550.37,Digital Wallet,East
19-09-2022,2022,9,Q3,Store_1,Home Decor,Sofa,18,164.37,2958.66,1606.27,45.71%,1352.39,326.15,11.02%,1026.24,Digital Wallet,West
16-07-2024,2024,7,Q3,Store_3,Toys,Doll,7,147.15,1030.05,574.57,44.22%,455.48,286.05,27.77%,169.43,Cash,North
23-10-2022,2022,10,Q4,Store_5,Home Decor,Chair,6,280.57,1683.42,781.89,53.55%,901.53,360.46,21.41%,541.07,Card,East
11-11-2023,2023,11,Q4,Store_1,Groceries,Rice,16,346.35,5541.60,3313.3,40.21%,2228.30,1479.94,26.71%,748.36,Digital Wallet,East
27-09-2023,2023,9,Q3,Store_4,Groceries,Fruits,5,294.9,1474.50,594.81,59.66%,879.69,371.87,25.22%,507.82,Cash,North
03-04-2023,2023,4,Q2,Store_3,Clothing,Shoes,17,191.58,3256.86,1909.19,41.38%,1347.67,756.82,23.24%,590.85,Card,South
11-09-2024,2024,9,Q3,Store_5,Home Decor,Curtains,2,14.27,28.54,15.38,46.11%,13.16,6.08,21.30%,7.08,Cash,South
27-11-2024,2024,11,Q4,Store_9,Clothing,Shirt,7,105.07,735.49,449.89,38.83%,285.60,187.46,25.49%,98.14,Card,East
18-08-2023,2023,8,Q3,Store_10,Clothing,Jacket,8,388.06,3104.48,2177.43,29.86%,927.05,660.78,21.28%,266.27,Digital Wallet,North
24-06-2022,2022,6,Q2,Store_9,Clothing,Shoes,14,374.98,5249.72,2678.36,48.98%,2571.36,1075.39,20.48%,1495.97,Digital Wallet,South
27-05-2022,2022,5,Q2,Store_2,Electronics,Laptop,12,280.24,3362.88,2245.77,33.22%,1117.11,505.14,15.02%,611.97,Digital Wallet,East
15-05-2022,2022,5,Q2,Store_10,Electronics,Headphones,18,186.03,3348.54,1941.82,42.01%,1406.72,670.95,20.04%,735.77,Card,South
21-10-2024,2024,10,Q4,Store_3,Home Decor,Table,16,374.05,5984.80,3363.12,43.81%,2621.68,1308.63,21.87%,1313.05,Card,South
15-01-2024,2024,1,Q1,Store_6,Electronics,Camera,6,199.3,1195.80,511.29,57.24%,684.51,233.30,19.51%,451.21,Digital Wallet,East
16-07-2022,2022,7,Q3,Store_7,Groceries,Fruits,3,135.53,406.59,167.58,58.78%,239.01,112.99,27.79%,126.02,Card,South
20-08-2023,2023,8,Q3,Store_8,Toys,Doll,4,243.34,973.36,646.44,33.59%,326.92,245.57,25.23%,81.35,Cash,East
10-04-2024,2024,4,Q2,Store_5,Groceries,Milk,6,274.67,1648.02,916.95,44.36%,731.07,311.38,18.89%,419.69,Digital Wallet,West
28-05-2022,2022,5,Q2,Store_1,Home Decor,Lamp,2,329.45,658.90,472.79,28.25%,186.11,179.89,27.30%,6.22,Cash,South
10-11-2024,2024,11,Q4,Store_9,Clothing,Shoes,14,336.44,4710.16,2501.24,46.90%,2208.92,998.31,21.19%,1210.61,Digital Wallet,South
08-06-2023,2023,6,Q2,Store_3,Home Decor,Lamp,16,353.23,5651.68,2569.83,54.53%,3081.85,1484.07,26.26%,1597.78,Cash,North
17-12-2022,2022,12,Q4,Store_3,Toys,Action Figure,4,476.27,1905.08,1324.36,30.48%,580.72,418.14,21.95%,162.58,Card,East
09-12-2023,2023,12,Q4,Store_8,Sports,Football,7,412.54,2887.78,1401.49,51.47%,1486.29,558.39,19.34%,927.90,Digital Wallet,West
27-08-2022,2022,8,Q3,Store_4,Electronics,Laptop,10,389.02,3890.20,3020.72,22.35%,869.48,445.36,11.45%,424.12,Cash,South
15-02-2022,2022,2,Q1,Store_6,Sports,Basketball,18,222.71,4008.78,2469.85,38.39%,1538.93,587.79,14.66%,951.14,Digital Wallet,South
20-09-2024,2024,9,Q3,Store_4,Toys,Board Game,15,44.53,667.95,475.04,28.88%,192.91,132.66,19.86%,60.25,Digital Wallet,North
30-11-2023,2023,11,Q4,Store_8,Clothing,Jeans,12,20.89,250.68,159.4,36.41%,91.28,42.47,16.94%,48.81,Digital Wallet,East
27-11-2022,2022,11,Q4,Store_6,Sports,Basketball,13,272.94,3548.22,2513.26,29.17%,1034.96,1006.62,28.37%,28.34,Digital Wallet,North
05-05-2024,2024,5,Q2,Store_1,Sports,Gym Bag,18,334.41,6019.38,3972.6,34.00%,2046.78,924.49,15.36%,1122.29,Card,East
27-09-2023,2023,9,Q3,Store_1,Groceries,Rice,13,81.3,1056.90,763.77,27.73%,293.13,192.97,18.26%,100.16,Cash,West
05-05-2024,2024,5,Q2,Store_3,Toys,Action Figure,12,467.95,5615.40,3343.31,40.46%,2272.09,1051.01,18.72%,1221.08,Cash,North
31-08-2023,2023,8,Q3,Store_2,Home Decor,Table,7,213.83,1496.81,785.78,47.50%,711.03,363.17,24.26%,347.86,Card,North
24-02-2024,2024,2,Q1,Store_6,Toys,Board Game,12,248.29,2979.48,1211.76,59.33%,1767.72,869.90,29.20%,897.82,Card,South
07-04-2024,2024,4,Q2,Store_7,Clothing,Jacket,12,204.45,2453.40,1478.88,39.72%,974.52,440.21,17.94%,534.31,Digital Wallet,East
03-06-2022,2022,6,Q2,Store_1,Electronics,Tablet,11,109.29,1202.19,796.03,33.79%,406.16,343.09,28.54%,63.07,Card,East
26-01-2023,2023,1,Q1,Store_5,Electronics,Headphones,9,232.66,2093.94,847.57,59.52%,1246.37,329.81,15.75%,916.56,Cash,South
04-10-2023,2023,10,Q4,Store_8,Home Decor,Lamp,18,151.41,2725.38,2043.74,25.01%,681.64,621.54,22.81%,60.10,Digital Wallet,South
13-08-2023,2023,8,Q3,Store_7,Sports,Gym Bag,19,308.21,5855.99,2585.57,55.85%,3270.42,1589.83,27.15%,1680.59,Card,North
22-08-2023,2023,8,Q3,Store_9,Sports,Football,14,387.47,5424.58,2229.66,58.90%,3194.92,1199.86,22.12%,1995.06,Digital Wallet,South
16-07-2023,2023,7,Q3,Store_9,Home Decor,Lamp,12,172.64,2071.68,1152.7,44.36%,918.98,282.53,13.64%,636.45,Digital Wallet,North
30-07-2024,2024,7,Q3,Store_7,Home Decor,Lamp,6,425.16,2550.96,2037.25,20.14%,513.71,758.24,29.72%,-244.53,Card,East
20-10-2024,2024,10,Q4,Store_3,Clothing,Shoes,4,255.58,1022.32,712.18,30.34%,310.14,241.12,23.59%,69.02,Cash,South
16-09-2024,2024,9,Q3,Store_10,Toys,Action Figure,4,208.24,832.96,461.77,44.56%,371.19,200.07,24.02%,171.12,Card,North
26-06-2022,2022,6,Q2,Store_5,Sports,Tennis Racket,8,154.06,1232.48,972.91,21.06%,259.57,207.07,16.80%,52.50,Card,West
29-12-2024,2024,12,Q4,Store_7,Groceries,Milk,1,393.8,393.80,237.03,39.81%,156.77,56.93,14.46%,99.84,Digital Wallet,East
30-06-2023,2023,6,Q2,Store_6,Home Decor,Chair,9,474.44,4269.96,2806.49,34.27%,1463.47,488.69,11.44%,974.78,Cash,South
23-08-2023,2023,8,Q3,Store_7,Clothing,Jacket,18,119.55,2151.90,1018.59,52.67%,1133.31,392.44,18.24%,740.87,Digital Wallet,West
15-01-2022,2022,1,Q1,Store_7,Clothing,Jacket,13,26.02,338.26,252.53,25.34%,85.73,71.16,21.04%,14.57,Card,East
14-05-2023,2023,5,Q2,Store_8,Electronics,Laptop,17,153.71,2613.07,1386.95,46.92%,1226.12,328.13,12.56%,897.99,Digital Wallet,East
11-11-2023,2023,11,Q4,Store_2,Groceries,Milk,19,326.65,6206.35,2691.35,56.64%,3515.00,845.71,13.63%,2669.29,Digital Wallet,East
02-12-2024,2024,12,Q4,Store_1,Electronics,Headphones,4,272.54,1090.16,758.64,30.41%,331.52,232.10,21.29%,99.42,Card,West
11-02-2022,2022,2,Q1,Store_1,Groceries,Milk,15,196.79,2951.85,2200.29,25.46%,751.56,477.49,16.18%,274.07,Card,South
28-04-2024,2024,4,Q2,Store_4,Toys,Doll,16,124.11,1985.76,1510.48,23.93%,475.28,429.14,21.61%,46.14,Card,North
25-11-2024,2024,11,Q4,Store_6,Clothing,Jeans,18,401.36,7224.48,5681.04,21.36%,1543.44,1717.12,23.77%,-173.68,Cash,South
13-03-2024,2024,3,Q1,Store_4,Groceries,Eggs,17,28.61,486.37,354.57,27.10%,131.80,87.77,18.05%,44.03,Card,South
05-04-2022,2022,4,Q2,Store_10,Sports,Tennis Racket,12,17.36,208.32,120.75,42.04%,87.57,30.73,14.75%,56.84,Cash,West
13-09-2022,2022,9,Q3,Store_3,Groceries,Milk,6,479.52,2877.12,2152.29,25.19%,724.83,772.54,26.85%,-47.71,Card,East
14-06-2023,2023,6,Q2,Store_6,Toys,Lego Set,17,406.47,6909.99,4100.92,40.65%,2809.07,892.79,12.92%,1916.28,Card,West
07-03-2023,2023,3,Q1,Store_2,Sports,Gym Bag,11,16.58,182.38,126.68,30.54%,55.70,48.48,26.58%,7.22,Card,East
24-06-2023,2023,6,Q2,Store_4,Clothing,Shirt,11,362.59,3988.49,2712.47,31.99%,1276.02,1143.25,28.66%,132.77,Cash,West
14-10-2023,2023,10,Q4,Store_9,Home Decor,Table,11,334.1,3675.10,2059.86,43.95%,1615.24,692.56,18.84%,922.68,Card,East
19-04-2024,2024,4,Q2,Store_8,Sports,Football,10,385.97,3859.70,2810.29,27.19%,1049.41,838.64,21.73%,210.77,Cash,West
15-04-2023,2023,4,Q2,Store_1,Groceries,Milk,10,320.04,3200.40,1871.97,41.51%,1328.43,952.20,29.75%,376.23,Cash,West
01-05-2022,2022,5,Q2,Store_6,Clothing,Jacket,4,170.09,680.36,442.28,34.99%,238.08,166.01,24.40%,72.07,Card,South
15-12-2022,2022,12,Q4,Store_3,Electronics,Laptop,16,485.91,7774.56,5161.06,33.62%,2613.50,1274.74,16.40%,1338.76,Cash,East
24-04-2024,2024,4,Q2,Store_4,Sports,Tennis Racket,14,202.32,2832.48,1820.92,35.71%,1011.56,367.76,12.98%,643.80,Digital Wallet,South
16-01-2023,2023,1,Q1,Store_6,Home Decor,Chair,16,102.85,1645.60,881.14,46.45%,764.46,272.41,16.55%,492.05,Card,West
11-10-2024,2024,10,Q4,Store_9,Clothing,Shoes,11,402.81,4430.91,3252.25,26.60%,1178.66,1193.89,26.94%,-15.23,Card,South
28-09-2024,2024,9,Q3,Store_7,Groceries,Rice,13,216.93,2820.09,1425.36,49.46%,1394.73,711.21,25.22%,683.52,Cash,North
13-11-2022,2022,11,Q4,Store_7,Sports,Running Shoes,3,120.91,362.73,198.96,45.15%,163.77,46.96,12.95%,116.81,Cash,North
01-05-2023,2023,5,Q2,Store_2,Toys,Board Game,5,24.49,122.45,84.02,31.38%,38.43,19.83,16.19%,18.60,Digital Wallet,South
19-01-2023,2023,1,Q1,Store_3,Clothing,Jacket,13,110.76,1439.88,708.86,50.77%,731.02,230.58,16.01%,500.44,Cash,East
22-12-2023,2023,12,Q4,Store_6,Clothing,Jeans,12,418.94,5027.28,3804.95,24.31%,1222.33,1043.86,20.76%,178.47,Digital Wallet,North
22-06-2024,2024,6,Q2,Store_1,Groceries,Milk,12,465.34,5584.08,2451.51,56.10%,3132.57,1585.30,28.39%,1547.27,Digital Wallet,West
17-05-2022,2022,5,Q2,Store_2,Sports,Running Shoes,14,423.49,5928.86,3896.15,34.29%,2032.71,1399.29,23.60%,633.42,Card,North
08-01-2023,2023,1,Q1,Store_9,Groceries,Rice,19,289.83,5506.77,4010.98,27.16%,1495.79,869.49,15.79%,626.30,Digital Wallet,East
10-09-2023,2023,9,Q3,Store_10,Home Decor,Lamp,16,22.01,352.16,197.59,43.89%,154.57,99.98,28.39%,54.59,Cash,South
11-08-2023,2023,8,Q3,Store_1,Clothing,Shoes,15,463.27,6949.05,3450.94,50.34%,3498.11,1261.14,18.15%,2236.97,Digital Wallet,East
19-05-2024,2024,5,Q2,Store_2,Electronics,Headphones,8,193.22,1545.76,777.91,49.67%,767.85,233.57,15.11%,534.28,Digital Wallet,North
02-07-2022,2022,7,Q3,Store_7,Electronics,Headphones,6,370,2220.00,1460.24,34.22%,759.76,634.67,28.59%,125.09,Card,East
20-09-2022,2022,9,Q3,Store_8,Home Decor,Lamp,4,146.62,586.48,253.61,56.76%,332.87,113.91,19.42%,218.96,Digital Wallet,South
25-11-2023,2023,11,Q4,Store_9,Toys,Doll,9,489.73,4407.57,1886.85,57.19%,2520.72,1258.57,28.55%,1262.15,Cash,East
18-08-2022,2022,8,Q3,Store_1,Clothing,Shoes,2,418.3,836.60,409.87,51.01%,426.73,96.83,11.57%,329.90,Cash,South
13-10-2023,2023,10,Q4,Store_5,Sports,Basketball,14,38.25,535.50,410.77,23.29%,124.73,145.04,27.08%,-20.31,Card,East
09-08-2024,2024,8,Q3,Store_9,Groceries,Eggs,14,208.23,2915.22,2016.84,30.82%,898.38,670.85,23.01%,227.53,Card,West
10-09-2024,2024,9,Q3,Store_6,Toys,Doll,17,424.41,7214.97,4885.5,32.29%,2329.47,1583.74,21.95%,745.73,Cash,North
11-07-2022,2022,7,Q3,Store_2,Home Decor,Curtains,4,449.47,1797.88,745.18,58.55%,1052.70,192.31,10.70%,860.39,Digital Wallet,South
13-05-2023,2023,5,Q2,Store_9,Home Decor,Lamp,16,155.85,2493.60,1404.19,43.69%,1089.41,719.96,28.87%,369.45,Digital Wallet,East
12-05-2022,2022,5,Q2,Store_2,Home Decor,Table,6,287.36,1724.16,732.71,57.50%,991.45,176.65,10.25%,814.80,Digital Wallet,North
14-05-2022,2022,5,Q2,Store_4,Clothing,Shoes,13,343.94,4471.22,2401.37,46.29%,2069.85,640.26,14.32%,1429.59,Cash,South
19-09-2022,2022,9,Q3,Store_2,Electronics,Headphones,10,150.05,1500.50,1035.47,30.99%,465.03,278.08,18.53%,186.95,Cash,North
31-10-2024,2024,10,Q4,Store_4,Home Decor,Chair,16,145.87,2333.92,1428.42,38.80%,905.50,404.26,17.32%,501.24,Card,East
01-01-2024,2024,1,Q1,Store_2,Clothing,Dress,11,307.98,3387.78,2225.03,34.32%,1162.75,846.44,24.99%,316.31,Cash,South
06-12-2022,2022,12,Q4,Store_3,Home Decor,Sofa,14,293.7,4111.80,3056.61,25.66%,1055.19,1191.97,28.99%,-136.78,Card,South
18-04-2023,2023,4,Q2,Store_6,Clothing,Jacket,18,55.53,999.54,640.27,35.94%,359.27,274.64,27.48%,84.63,Card,West
13-12-2022,2022,12,Q4,Store_8,Clothing,Shoes,5,443.93,2219.65,1284.49,42.13%,935.16,301.76,13.59%,633.40,Cash,West
15-11-2022,2022,11,Q4,Store_8,Electronics,Headphones,7,466.9,3268.30,1557.05,52.36%,1711.25,640.47,19.60%,1070.78,Card,East
06-07-2024,2024,7,Q3,Store_2,Toys,Action Figure,19,87.21,1656.99,737.08,55.52%,919.91,181.73,10.97%,738.18,Cash,West
22-12-2022,2022,12,Q4,Store_2,Home Decor,Table,4,119.83,479.32,366.06,23.63%,113.26,91.93,19.18%,21.33,Cash,North
29-01-2022,2022,1,Q1,Store_3,Home Decor,Lamp,2,428.78,857.56,463.7,45.93%,393.86,251.65,29.34%,142.21,Cash,East
24-04-2024,2024,4,Q2,Store_6,Groceries,Milk,17,308.52,5244.84,2916.32,44.40%,2328.52,614.00,11.71%,1714.52,Card,East
08-04-2023,2023,4,Q2,Store_3,Clothing,Jacket,2,186.07,372.14,238.16,36.00%,133.98,83.38,22.41%,50.60,Cash,North
17-11-2022,2022,11,Q4,Store_4,Toys,Action Figure,9,406.66,3659.94,1894.82,48.23%,1765.12,1011.53,27.64%,753.59,Cash,East
14-12-2024,2024,12,Q4,Store_7,Groceries,Eggs,3,467.58,1402.74,653.09,53.44%,749.65,237.27,16.91%,512.38,Card,South
02-01-2022,2022,1,Q1,Store_9,Toys,Board Game,1,302.02,302.02,240.86,20.25%,61.16,54.32,17.99%,6.84,Digital Wallet,South
13-05-2023,2023,5,Q2,Store_2,Groceries,Bread,11,147.99,1627.89,707.24,56.55%,920.65,338.55,20.80%,582.10,Cash,North
19-10-2024,2024,10,Q4,Store_2,Electronics,Smartphone,11,404.45,4448.95,2916.31,34.45%,1532.64,828.04,18.61%,704.60,Digital Wallet,North
09-05-2022,2022,5,Q2,Store_6,Clothing,Jacket,9,167.52,1507.68,1083.41,28.14%,424.27,201.79,13.38%,222.48,Card,North
05-08-2024,2024,8,Q3,Store_1,Toys,Puzzle,15,397.32,5959.80,2856.51,52.07%,3103.29,909.71,15.26%,2193.58,Card,West
22-11-2022,2022,11,Q4,Store_2,Electronics,Headphones,1,27.23,27.23,21.64,20.53%,5.59,5.07,18.62%,0.52,Card,South
25-10-2022,2022,10,Q4,Store_3,Sports,Tennis Racket,15,365.65,5484.75,4342.01,20.83%,1142.74,1346.90,24.56%,-204.16,Digital Wallet,West
17-08-2024,2024,8,Q3,Store_1,Groceries,Rice,19,217.44,4131.36,2571.16,37.76%,1560.20,852.12,20.63%,708.08,Digital Wallet,South
28-04-2022,2022,4,Q2,Store_7,Toys,Board Game,7,82.66,578.62,456.62,21.08%,122.00,125.02,21.61%,-3.02,Cash,South
29-10-2022,2022,10,Q4,Store_2,Clothing,Dress,8,261.25,2090.00,973.35,53.43%,1116.65,220.82,10.57%,895.83,Card,South
21-06-2024,2024,6,Q2,Store_5,Groceries,Milk,10,249.64,2496.40,1623.51,34.97%,872.89,347.43,13.92%,525.46,Card,North
29-06-2023,2023,6,Q2,Store_3,Electronics,Smartphone,7,207.37,1451.59,895.21,38.33%,556.38,350.80,24.17%,205.58,Card,North
25-07-2023,2023,7,Q3,Store_6,Clothing,Dress,8,135.3,1082.40,624.28,42.32%,458.12,247.23,22.84%,210.89,Card,South
17-06-2024,2024,6,Q2,Store_8,Groceries,Fruits,11,441.27,4853.97,2039.52,57.98%,2814.45,625.08,12.88%,2189.37,Digital Wallet,West
25-09-2022,2022,9,Q3,Store_1,Home Decor,Sofa,7,331.94,2323.58,1794.96,22.75%,528.62,382.52,16.46%,146.10,Cash,South
18-06-2023,2023,6,Q2,Store_10,Groceries,Bread,1,495.8,495.80,303.67,38.75%,192.13,117.28,23.65%,74.85,Card,South
17-10-2024,2024,10,Q4,Store_1,Sports,Running Shoes,3,154.49,463.47,224.05,51.66%,239.42,77.31,16.68%,162.11,Cash,West
17-09-2023,2023,9,Q3,Store_5,Clothing,Jeans,4,328.76,1315.04,940.68,28.47%,374.36,293.51,22.32%,80.85,Digital Wallet,North
23-03-2022,2022,3,Q1,Store_5,Sports,Running Shoes,3,309.25,927.75,694.09,25.19%,233.66,221.95,23.92%,11.71,Digital Wallet,South
05-05-2024,2024,5,Q2,Store_2,Toys,Doll,10,490.33,4903.30,3915.09,20.15%,988.21,957.70,19.53%,30.51,Cash,South
11-09-2024,2024,9,Q3,Store_6,Toys,Doll,10,145.94,1459.40,1069.02,26.75%,390.38,184.79,12.66%,205.59,Card,South
11-12-2024,2024,12,Q4,Store_1,Home Decor,Chair,6,244.99,1469.94,960.15,34.68%,509.79,296.17,20.15%,213.62,Digital Wallet,West
01-10-2023,2023,10,Q4,Store_10,Clothing,Jacket,2,175.23,350.46,165.05,52.90%,185.41,58.52,16.70%,126.89,Cash,West
27-08-2022,2022,8,Q3,Store_7,Sports,Basketball,5,13.63,68.15,47.27,30.64%,20.88,7.82,11.47%,13.06,Card,East
24-06-2023,2023,6,Q2,Store_3,Electronics,Camera,13,195.93,2547.09,1632.35,35.91%,914.74,571.49,22.44%,343.25,Card,West
13-12-2023,2023,12,Q4,Store_8,Electronics,Headphones,15,433.09,6496.35,4012.66,38.23%,2483.69,1093.34,16.83%,1390.35,Card,North
11-05-2023,2023,5,Q2,Store_1,Groceries,Fruits,11,298.82,3287.02,2127.62,35.27%,1159.40,419.24,12.75%,740.16,Card,South
24-02-2024,2024,2,Q1,Store_7,Groceries,Bread,14,455.98,6383.72,3839.27,39.86%,2544.45,1261.87,19.77%,1282.58,Card,East
26-06-2024,2024,6,Q2,Store_6,Clothing,Dress,7,368.22,2577.54,1067.24,58.59%,1510.30,315.39,12.24%,1194.91,Card,South
28-02-2023,2023,2,Q1,Store_7,Sports,Running Shoes,3,339.47,1018.41,418.14,58.94%,600.27,259.20,25.45%,341.07,Card,East
16-12-2023,2023,12,Q4,Store_1,Clothing,Shoes,11,278.71,3065.81,1908.57,37.75%,1157.24,514.76,16.79%,642.48,Cash,South
22-03-2024,2024,3,Q1,Store_8,Sports,Football,18,188.28,3389.04,1645.17,51.46%,1743.87,700.18,20.66%,1043.69,Cash,East
17-01-2023,2023,1,Q1,Store_6,Clothing,Shoes,3,448.08,1344.24,1005.11,25.23%,339.13,207.79,15.46%,131.34,Cash,South
16-09-2023,2023,9,Q3,Store_5,Groceries,Fruits,14,104.49,1462.86,856,41.48%,606.86,217.58,14.87%,389.28,Cash,West
04-05-2022,2022,5,Q2,Store_1,Toys,Lego Set,19,445.29,8460.51,6693.91,20.88%,1766.60,1495.24,17.67%,271.36,Digital Wallet,South
17-04-2024,2024,4,Q2,Store_5,Electronics,Headphones,19,87.36,1659.84,1157.97,30.24%,501.87,348.28,20.98%,153.59,Digital Wallet,East
10-09-2022,2022,9,Q3,Store_2,Electronics,Tablet,12,34.32,411.84,257.99,37.36%,153.85,54.90,13.33%,98.95,Cash,West
19-10-2023,2023,10,Q4,Store_6,Toys,Board Game,3,474.54,1423.62,679.55,52.27%,744.07,398.87,28.02%,345.20,Card,South
29-09-2022,2022,9,Q3,Store_3,Clothing,Jeans,1,311.73,311.73,127.91,58.97%,183.82,38.02,12.20%,145.80,Digital Wallet,North
30-09-2022,2022,9,Q3,Store_9,Clothing,Dress,6,51.11,306.66,159.61,47.95%,147.05,91.88,29.96%,55.17,Card,North
12-07-2024,2024,7,Q3,Store_2,Clothing,Jacket,17,229.17,3895.89,2020.05,48.15%,1875.84,488.76,12.55%,1387.08,Digital Wallet,North
19-12-2023,2023,12,Q4,Store_5,Clothing,Shirt,12,153.28,1839.36,1168.91,36.45%,670.45,279.54,15.20%,390.91,Cash,West
02-07-2022,2022,7,Q3,Store_6,Clothing,Shirt,10,444.13,4441.30,2224.63,49.91%,2216.67,580.55,13.07%,1636.12,Digital Wallet,East
29-06-2023,2023,6,Q2,Store_2,Electronics,Laptop,3,227.61,682.83,534.62,21.71%,148.21,120.42,17.64%,27.79,Cash,North
14-03-2022,2022,3,Q1,Store_8,Home Decor,Chair,19,131.59,2500.21,1327.53,46.90%,1172.68,332.34,13.29%,840.34,Digital Wallet,West
31-07-2024,2024,7,Q3,Store_1,Clothing,Jeans,3,409.62,1228.86,502.44,59.11%,726.42,234.91,19.12%,491.51,Card,North
05-01-2022,2022,1,Q1,Store_5,Toys,Puzzle,14,440.55,6167.70,4393.31,28.77%,1774.39,714.72,11.59%,1059.67,Cash,North
24-08-2022,2022,8,Q3,Store_10,Groceries,Milk,16,393.3,6292.80,3341.21,46.90%,2951.59,1793.00,28.49%,1158.59,Cash,North
13-10-2023,2023,10,Q4,Store_1,Sports,Football,18,127.43,2293.74,1649.82,28.07%,643.92,290.18,12.65%,353.74,Card,East
16-06-2024,2024,6,Q2,Store_4,Sports,Gym Bag,8,253.68,2029.44,889.4,56.18%,1140.04,268.77,13.24%,871.27,Card,South
15-10-2023,2023,10,Q4,Store_8,Clothing,Shirt,18,462.78,8330.04,4572.27,45.11%,3757.77,1772.54,21.28%,1985.23,Digital Wallet,West
04-11-2023,2023,11,Q4,Store_10,Clothing,Jeans,19,460.12,8742.28,5779.02,33.90%,2963.26,1554.98,17.79%,1408.28,Digital Wallet,East
23-10-2024,2024,10,Q4,Store_8,Sports,Football,13,232.72,3025.36,2088.41,30.97%,936.95,610.66,20.18%,326.29,Cash,North
30-06-2022,2022,6,Q2,Store_4,Toys,Doll,10,5.28,52.80,36.92,30.08%,15.88,10.06,19.05%,5.82,Digital Wallet,North
